iter	Passed	Remaining
406	5296	7717
407	5307	7701
408	5318	7685
409	5330	7670
410	5341	7655
411	5358	7647
412	5373	7637
413	5387	7625
414	5398	7609
415	5409	7594
416	5421	7580
417	5433	7565
418	5445	7550
419	5456	7535
420	5468	7521
421	5480	7506
422	5491	7491
423	5503	7476
424	5514	7461
425	5525	7445
426	5536	7429
427	5547	7413
428	5558	7397
429	5568	7381
430	5579	7366
431	5590	7350
432	5614	7352
433	5625	7336
434	5636	7320
435	5647	7305
436	5657	7288
437	5668	7273
438	5679	7257
439	5690	7242
440	5700	7226
441	5711	7210
442	5722	7194
443	5733	7179
444	5744	7164
445	5755	7149
446	5766	7133
447	5776	7117
448	5790	7105
449	5800	7089
450	5811	7074
451	5822	7058
452	5833	7043
453	5843	7028
454	5854	7012
455	5865	6997
456	5876	6982
457	5887	6967
458	5899	6953
459	5910	6938
460	5921	6923
461	5932	6908
462	5943	6892
463	5953	6877
464	5964	6862
465	5975	6847
466	5991	6837
467	6006	6827
468	6017	6812
469	6029	6798
470	6040	6783
471	6050	6768
472	6061	6753
473	6072	6738
474	6082	6723
475	6093	6708
476	6104	6692
477	6114	6677
478	6125	6662
479	6137	6648
480	6148	6634
481	6159	6619
482	6170	6604
483	6181	6589
484	6192	6575
485	6202	6560
486	6213	6545
487	6224	6530
488	6235	6516
489	6246	6501
490	6257	6486
491	6267	6471
492	6278	6456
493	6289	6441
494	6300	6427
495	6310	6412
496	6321	6397
497	6333	6384
498	6343	6369
499	6354	6354
500	6366	6341
501	6380	6329
502	6398	6321
503	6408	6307
504	6419	6292
505	6430	6278
506	6441	6263
507	6452	6249
508	6464	6235
509	6475	6221
510	6487	6208
511	6499	6194
512	6510	6180
513	6523	6168
514	6535	6154
515	6546	6140
516	6557	6126
517	6569	6113
518	6581	6099
519	6593	6085
520	6604	6072
521	6616	6058
522	6627	6044
523	6638	6030
524	6650	6016
525	6661	6003
526	6672	5988
527	6683	5974
528	6695	5961
529	6706	5947
530	6717	5933
531	6728	5919
532	6739	5904
533	6750	5890
534	6761	5876
535	6772	5862
536	6793	5857
537	6805	5844
538	6817	5830
539	6829	5817
540	6841	5804
541	6852	5790
542	6864	5777
543	6876	5763
544	6887	5750
545	6899	5737
546	6912	5724
547	6924	5711
548	6935	5697
549	6946	5683
550	6958	5670
551	6969	5656
552	6980	5642
553	6992	5629
554	7004	5615
555	7016	5602
556	7028	5589
557	7039	5576
558	7051	5562
559	7062	5549
560	7074	5535
561	7086	5522
562	7097	5509
563	7109	5496
564	7121	5482
565	7132	5469
566	7144	5455
567	7156	5442
568	7179	5438
569	7191	5424
570	7202	5411
571	7214	5398
572	7226	5385
573	7237	5371
574	7248	5357
575	7259	5343
576	7270	5329
577	7280	5315
578	7291	5301
579	7302	5288
580	7314	5275
581	7325	5261
582	7336	5247
583	7348	5234
584	7359	5220
585	7370	5207
586	7381	5193
587	7392	5180
588	7404	5166
589	7415	5153
590	7426	5139
591	7437	5125
592	7449	5112
593	7460	5099
594	7471	5085
595	7483	5072
596	7494	5059
597	7505	5045
598	7517	5032
599	7529	5019
600	7540	5005
601	7551	4992
602	7577	4989
603	7589	4975
604	7601	4962
605	7612	4949
606	7623	4936
607	7635	4922
608	7646	4909
609	7658	4896
610	7669	4882
611	7680	4869
612	7693	4856
613	7704	4843
614	7716	4830
615	7728	4817
616	7739	4804
617	7750	4790
618	7763	4778
619	7774	4765
620	7786	4751
621	7797	4738
622	7809	4725
623	7820	4712
624	7831	4699
625	7843	4685
626	7854	4672
627	7866	4659
628	7878	4647
629	7890	4634
630	7901	4620
631	7913	4607
632	7925	4595
633	7937	4581
634	7952	4571
635	7969	4561
636	7980	4547
637	7992	4535
638	8007	4523
639	8019	4510
640	8030	4497
641	8042	4484
642	8054	4471
643	8064	4458
644	8076	4445
645	8088	4432
646	8099	4419
647	8111	4406
648	8124	4394
649	8137	4381
650	8151	4370
651	8164	4357
652	8178	4346
653	8190	4333
654	8201	4319
655	8211	4306
656	8219	4290
657	8231	4278
658	8242	4265
659	8253	4251
660	8264	4238
661	8276	4225
662	8287	4212
663	8300	4200
664	8311	4187
665	8323	4174
666	8335	4161
667	8358	4153
668	8370	4141
669	8381	4128
670	8392	4115
671	8404	4102
672	8415	4088
673	8426	4075
674	8436	4062
675	8447	4048
676	8458	4035
677	8468	4022
678	8479	4008
679	8491	3996
680	8503	3983
681	8515	3970
682	8526	3957
683	8537	3944
684	8550	3931
685	8561	3918
686	8572	3905
687	8584	3892
688	8595	3880
689	8606	3866
690	8618	3853
691	8629	3840
692	8640	3827
693	8651	3814
694	8662	3801
695	8673	3788
696	8684	3775
697	8694	3761
698	8705	3748
699	8715	3735
700	8726	3722
701	8737	3709
702	8754	3698
703	8770	3687
704	8782	3674
705	8793	3661
706	8803	3648
707	8815	3635
708	8826	3622
709	8838	3609
710	8849	3597
711	8861	3584
712	8873	3571
713	8884	3558
714	8897	3546
715	8909	3533
716	8920	3520
717	8931	3507
718	8943	3495
719	8955	3482
720	8967	3469
721	8979	3457
722	8991	3444
723	9003	3432
724	9014	3419
725	9026	3406
726	9038	3394
727	9049	3381
728	9061	3368
729	9072	3355
730	9084	3342
731	9095	3329
732	9106	3317
733	9118	3304
734	9129	3291
735	9143	3279
736	9171	3272
737	9182	3260
738	9194	3247
739	9205	3234
740	9217	3221
741	9228	3208
742	9240	3196
743	9252	3183
744	9263	3170
745	9275	3158
746	9289	3146
747	9300	3133
748	9311	3120
749	9322	3107
750	9334	3094
751	9344	3081
752	9355	3068
753	9366	3055
754	9377	3042
755	9387	3029
756	9398	3016
757	9409	3004
758	9419	2991
759	9430	2978
760	9442	2965
761	9453	2952
762	9464	2939
763	9476	2927
764	9487	2914
765	9499	2901
766	9510	2889
767	9522	2876
768	9540	2865
769	9556	2854
770	9568	2841
771	9579	2829
772	9590	2816
773	9602	2803
774	9614	2791
775	9626	2778
776	9637	2765
777	9649	2753
778	9660	2740
779	9673	2728
780	9684	2715
781	9698	2703
782	9712	2691
783	9726	2679
784	9739	2667
785	9756	2656
786	9767	2643
787	9780	2631
788	9793	2618
789	9804	2606
790	9815	2593
791	9827	2580
792	9838	2568
793	9851	2555
794	9862	2543
795	9873	2530
796	9884	2517
797	9895	2504
798	9907	2492
799	9918	2479
800	9940	2469
801	9951	2456
802	9962	2444
803	9973	2431
804	9984	2418
805	9994	2405
806	10006	2393
807	10017	2380
808	10028	2367
809	10038	2354
810	10049	2341
811	10060	2329
812	10073	2316
813	10084	2304
814	10094	2291
815	10106	2278
816	10118	2266
817	10129	2253
818	10140	2241
819	10151	2228
820	10162	2215
821	10173	2203
822	10183	2190
823	10194	2177
824	10205	2164
825	10216	2152
826	10226	2139
827	10237	2126
828	10247	2113
829	10258	2101
830	10269	2088
831	10280	2075
832	10291	2063
833	10301	2050
834	10316	2038
835	10335	2027
836	10346	2014
837	10356	2002
838	10367	1989
839	10378	1976
840	10388	1964
841	10399	1951
842	10410	1938
843	10420	1926
844	10430	1913
845	10441	1900
846	10452	1888
847	10463	1875
848	10473	1862
849	10484	1850
850	10495	1837
851	10505	1824
852	10516	1812
853	10527	1799
854	10537	1787
855	10548	1774
856	10559	1761
857	10569	1749
858	10580	1736
859	10590	1724
860	10601	1711
861	10611	1698
862	10622	1686
863	10635	1674
864	10647	1661
865	10658	1649
866	10669	1636
867	10679	1624
868	10690	1611
869	10700	1598
870	10722	1588
871	10733	1575
872	10744	1563
873	10755	1550
874	10765	1537
875	10776	1525
876	10786	1512
877	10797	1500
878	10807	1487
879	10818	1475
880	10829	1462
881	10840	1450
882	10852	1438
883	10863	1425
884	10874	1413
885	10884	1400
886	10895	1388
887	10906	1375
888	10917	1363
889	10927	1350
890	10938	1338
891	10949	1325
892	10960	1313
893	10970	1300
894	10981	1288
895	10991	1275
896	11002	1263
897	11013	1250
898	11025	1238
899	11038	1226
900	11051	1214
901	11062	1201
902	11075	1189
903	11087	1177
904	11102	1165
905	11124	1154
906	11136	1141
907	11148	1129
908	11160	1117
909	11171	1104
910	11183	1092
911	11194	1080
912	11206	1067
913	11218	1055
914	11229	1043
915	11240	1030
916	11253	1018
917	11265	1006
918	11276	993
919	11287	981
920	11299	969
921	11310	956
922	11321	944
923	11333	932
924	11344	919
925	11356	907
926	11367	895
927	11380	882
928	11390	870
929	11402	858
930	11413	845
931	11424	833
932	11436	821
933	11449	809
934	11460	796
935	11472	784
936	11484	772
937	11499	760
938	11515	748
939	11526	735
940	11537	723
941	11548	711
942	11559	698
943	11571	686
944	11582	674
945	11593	661
946	11604	649
947	11615	637
948	11626	624
949	11638	612
950	11648	600
951	11659	587
952	11670	575
953	11680	563
954	11692	550
955	11703	538
956	11713	526
957	11724	514
958	11735	501
959	11746	489
960	11758	477
961	11770	464
962	11781	452
963	11793	440
964	11804	428
965	11815	415
966	11830	403
967	11842	391
968	11853	379
969	11864	366
970	11876	354
971	11899	342
972	11910	330
973	11922	318
974	11933	305
975	11944	293
976	11956	281
977	11967	269
978	11978	256
979	11990	244
980	12001	232
981	12012	220
982	12023	207
983	12035	195
984	12046	183
985	12058	171
986	12069	158
987	12081	146
988	12092	134
989	12104	122
990	12115	110
991	12127	97
992	12138	85
993	12150	73
994	12161	61
995	12173	48
996	12184	36
997	12195	24
998	12207	12
999	12219	0
